"Game_ID";"Score_hole_1";"Score_hole_2";"Score_hole_3";"Score_hole_4";"Score_hole_5";"Score_hole_6";"Score_hole_7";"Score_hole_8";"Score_hole_9";"Score_hole_10";"Score_hole_11";"Score_hole_12";"Score_hole_13";"Score_hole_14";"Score_hole_15";"Score_hole_16";"Score_hole_17";"Score_hole_18";"TOTAL"
233;;;;;;5;7;3;5;6;3;;;;;;;;84
234;;;;;5;;;;;;;;;;;;;;81
235;;;;5;7;4;5;3;4;6;4;;;;;;;;83
236;;;;;;4;4;3;4;6;3;6;4;5;4;4;4;;79
237;3;5;4;;;;;;;;;;;;;;;5;79
238;;;;;;;;;;;5;4;3;4;4;6;3;;80
239;5;4;6;4;5;3;;;;5;4;5;3;3;3;4;3;3;72
240;4;4;6;4;5;6;;;;5;5;5;3;5;3;4;3;6;81
241;5;5;6;3;6;3;4;4;5;6;;;3;3;3;5;3;4;78
242;;;4;4;;;;;;;;;;;;;;;82
243;5;5;5;;;;;;;;;;;6;3;6;4;8;93
244;5;5;5;4;7;4;5;4;4;6;5;4;;;;;;8;88
245;5;;;;;;5;3;4;6;4;3;3;3;3;6;3;5;75
246;;;;;;;;;;;5;;;;;;;;83
247;5;4;4;4;5;4;3;4;;;;5;3;4;4;5;4;4;77
248;4;4;3;4;5;4;3;3;4;5;5;;;;;4;3;3;69
249;4;4;4;4;6;4;7;4;5;6;5;;;;4;5;3;5;84
250;4;;;;5;4;4;3;5;6;4;5;5;3;3;4;3;4;74
251;4;4;4;3;7;4;3;;;;;;;;3;5;4;6;78
252;5;3;5;5;6;4;5;4;4;6;5;6;3;;;;;;83
253;4;6;4;3;6;5;6;;5;6;4;5;3;5;4;5;3;4;82
254;;;;;8;4;4;3;7;4;4;5;3;;;;;;81
255;;;;;;;;;;7;7;6;5;4;5;;;;93
256;4;5;4;3;5;5;5;3;4;7;7;;;;4;4;3;6;83
257;6;5;5;4;;;;;;;;;;;;;;4;86
258;4;6;6;4;8;3;6;3;7;6;4;4;3;;;;;5;86
259;5;6;4;4;7;6;6;;;;;;;;;;;6;92
260;;;;;;;;3;4;5;;;;;;;;;78
261;3;;;;;;;;;;;;;;;;;;79
262;;;;;;;;;;;;;;4;4;4;4;6;83
263;;;;;;;;;5;5;3;3;5;3;4;5;3;4;74
264;3;5;3;3;5;;;;;;4;4;3;5;3;4;3;5;71
265;;;;;6;6;6;3;5;5;5;5;4;5;3;6;3;;85
266;4;4;3;4;;3;4;3;4;4;4;5;3;5;3;5;3;4;70
267;;;;;;4;3;3;4;;;;;;;;;;75
268;;;;;;5;;;;;;;;;;;;;84
